product_name,category,price,margin,margin_pct
NamStyle UC-01,Streetwear,2708.37,1353.1,49.96
VietMode RS-07,Outdoor,5039.37,2516.66,49.94
HanoiStreet UC-07,Streetwear,8971.2,4479.32,49.93
HanoiStreet UC-52,Streetwear,5262.4712658227845,2623.87,49.86
HanoiStreet RP-23,Outdoor,4615.655408483896,2300.9,49.85
MekongFit RP-45,Outdoor,497.07,247.79,49.85
VietMotion YY-11,GenZ,3733.948733944954,1859.51,49.8
PhoenixWear MA-01,Casual,6299.37,3132.05,49.72
VietMode RP-05,Outdoor,4848.653793103448,2409.3,49.69
HanoiStreet UE-42,Streetwear,6929.370000000001,3441.13,49.66
UrbanVN UE-20,Streetwear,4438.989402985075,2204.4,49.66
LotusWear UR-09,Streetwear,6401.85,3175.96,49.61
SaigonCore YY-17,GenZ,4346.37,2151.02,49.49
SaigonFlex UE-06,Streetwear,6281.421428571429,3108.05,49.48
VietMode RP-31,Outdoor,2933.641534090909,1450.1,49.43
VietMode RP-98,Outdoor,4692.24,2318.44,49.41
VietMode RP-60,Outdoor,5448.87,2687.93,49.33
VietMotion UC-17,Streetwear,5168.688326848249,2544.55,49.23
SaigonCore YY-34,GenZ,3149.37,1550.43,49.23
DragonWear MA-28,Casual,5181.75,2550.46,49.22
